Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Haut Lomami,Kinda General Referencia,Hôpital Général de Référence,Publique,-9.2797,25.0766,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kinkondja General Referencia,Hôpital Général de Référence,Publique,-7.8089,26.4812,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kitenge Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.8979,25.9661,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Lwamba General Referencia,Hôpital Général de Référence,Publique,-7.9093,26.7471,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Malemba N'kulu General Referencia,Hôpital Général de Référence,Publique,-8.2044,26.4228,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Mukanga General Referencia,Hôpital Général de Référence,Publique,-8.2212,26.9172,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Mulongo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-7.8313,27.0014,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Songa Hôpital Général de Référence,Hôpital Général de Référence,Publique,-8.098,25.0317,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Aba Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.8204,30.1963,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Doruma Hôpital Général de Référence,Hôpital Général de Référence,Publique,4.7364,27.6994,Other,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Faradje Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.735,29.7058,Other,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Gombari Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.7196,29.0659,Other,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Isiro Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.7685,27.6231,Other,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Nebobongo Centre Hôpital,Centre Hôpital,Publique,2.4619,27.6318,Combination,Centre Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Neisu Centre Hôpital,Centre Hôpital,Publique,2.7326,27.4048,Geonames,Centre Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Niangara Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.6958,27.8736,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Haut-Uele,Watsa Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.0402,29.5348,Geonames,Hôpital,Hospital
